DBN,NAME,TYPE,GRADES,DISTRICT,TEL,WEBSITE,SUBWAY,BUS,URL,LAT,LON,address
16K057,Whitelaw Reid Academy of Arts and Business,Junior High-Intermediate-Middle,"06,07,08,SE","16",718-574-2357,https://www.schools.nyc.gov/Find-a-School,"M, Z to Myrtle Ave; J to Kosciusko St","B15, B38, B43, B46, B46-SBS, B47, B52, B54, Q24",https://tools.nycenet.edu/snapshot/2019/16K057/EMS,40.691494,-73.932352,"125 Stuyvesant Avenue, Brooklyn NY 11221"
17K061,M.S. 061 Dr. Gladstone H. Atwell,Junior High-Intermediate-Middle,"06,07,08,SE","17",718-774-1002,https://www.ms61.net,"3 to Nostrand Ave; 2, 5 to Sterling St","B12, B43, B44, B44-SBS, B49",https://tools.nycenet.edu/snapshot/2019/17K061/EMS,40.663624,-73.949163,"400 Empire Boulevard, Brooklyn NY 11225"
20K062,J.H.S. 062 Ditmas,Junior High-Intermediate-Middle,"06,07,08,SE","20",718-941-5450,https://www.ditmas.org,"Q to Cortelyou Rd; F to Ditmas Ave","B103, B35, B67, B68, B69, B8, BM1, BM2, BM3, BM4",https://tools.nycenet.edu/snapshot/2019/20K062/EMS,40.638338,-73.971406,"700 Cortelyou Road, Brooklyn NY 11218"
18K066,P.S. 66,K-8,"PK,0K,01,02,03,04,05,06,07,08,SE","18",718-922-3505,https://www.schools.nyc.gov/Find-a-School,N/A,"B17, B42, B6, B60, B8, B82",https://tools.nycenet.edu/snapshot/2019/18K066/EMS,40.648607,-73.906897,"845 East 96th Street, Brooklyn NY 11236"
18K068,I.S. 068 Isaac Bildersee,Junior High-Intermediate-Middle,"06,07,08,SE","18",718-241-4800,https://www.is68.org,N/A,"B103, B17, B47, B6, B82, BM2",https://tools.nycenet.edu/snapshot/2019/18K068/EMS,40.635236,-73.911275,"956 East 82nd Street, Brooklyn NY 11236"
14K071,Juan Morel Campos Secondary School,Secondary School,"06,07,08,09,10,11,12,SE","14",718-302-7900,https://www.juanmorelcampos.com,"Z to Marcy Ave; J, M to Hewes St; G to Broadway","B24, B32, B39, B43, B44, B44-SBS, B46, B48, B57, B60, B62, Q54, Q59",https://tools.nycenet.edu/snapshot/2019/14K071/EMS,40.704254,-73.953187,"215 Heyward Street, Brooklyn NY 11206"
22K078,J.H.S. 078 Roy H. Mann,Junior High-Intermediate-Middle,"06,07,08,SE","22",718-763-4701,https://www.RoyHMann.com,N/A,"B100, B3, B41, B46, B47, BM1",https://tools.nycenet.edu/snapshot/2019/22K078/EMS,40.620252,-73.913058,"1420 East 68th Street, Brooklyn NY 11234"
14K084,P.S. 084 Jose De Diego,K-8,"PK,0K,01,02,03,04,05,06,07,08,SE","14",718-384-8063,https://www.ps84k.org,"L to Bedford Ave; J, M, Z to Marcy Ave","B24, B32, B39, B44, B44-SBS, B46, B60, B62, Q54, Q59",https://tools.nycenet.edu/snapshot/2019/14K084/EMS,40.715124,-73.963666,"250 Berry Street, Brooklyn NY 11211"
15K088,J.H.S. 088 Peter Rouget,Junior High-Intermediate-Middle,"06,07,08,SE","15",718-788-4482,https://www.ms88.org,"R to Prospect Ave; F, G to 15th St-Prospect Park","B37, B61, B63, B67, B68, B69",https://tools.nycenet.edu/snapshot/2019/15K088/EMS,40.660562,-73.988808,"544 7th Avenue, Brooklyn NY 11215"
19K089,P.S. 089 Cypress Hills,K-8,"PK,0K,01,02,03,04,05,06,07,08,SE","19",718-964-1180,https://www.cypresshillscommunityschool.org,"J to Cleveland St; C, Z to Van Siclen Ave","B14, Q24, Q56",https://tools.nycenet.edu/snapshot/2019/19K089/EMS,40.677627,-73.886947,"265 Warwick Street, Brooklyn NY 11207"
21K095,P.S. 095 The Gravesend,K-8,"PK,0K,01,02,03,04,05,06,07,08,SE","21",718-449-5050,https://www.ps95bk.org,"F, N to Ave U","B1, B3, B4",https://tools.nycenet.edu/snapshot/2019/21K095/EMS,40.596261,-73.974402,"345 Van Sicklen Street, Brooklyn NY 11223"
21K096,I.S. 096 Seth Low,Junior High-Intermediate-Middle,"06,07,08,SE","21",718-236-1344,https://www.sethlowis96.wix.com/home,N to Bay Parkway-22nd Ave,"B4, B6, B82",https://tools.nycenet.edu/snapshot/2019/21K096/EMS,40.608226,-73.984684,"99 Avenue P, Brooklyn NY 11204"
21K098,I.S. 98 Bay Academy,Junior High-Intermediate-Middle,"06,07,08,SE","21",718-891-9005,https://www.is98.info,"B, Q to Sheepshead Bay","B1, B36, B4, B49, B68, BM3",https://tools.nycenet.edu/snapshot/2019/21K098/EMS,40.583755,-73.954113,"1401 Emmons Avenue, Brooklyn NY 11235"
21K099,P.S. 099 Isaac Asimov,K-8,"PK,0K,01,02,03,04,05,06,07,08,SE","21",718-338-9201,https://www.schools.nyc.gov/Find-a-School,"F to Bay Parkway-22nd Ave; B, Q to Ave J","B11, B6, B68, B9",https://tools.nycenet.edu/snapshot/2019/21K099/EMS,40.621261,-73.965793,"1120 East 10th Street, Brooklyn NY 11230"
20K104,P.S./I.S. 104 The Fort Hamilton School,K-8,"0K,01,02,03,04,05,06,07,08,SE","20",718-836-4630,https://www.psis104.com,R to Bay Ridge95th St,"B1, B16, B37, B63, B70, B8, S53, S79-SBS, S93, X17, X27, X28, X37, X38",https://tools.nycenet.edu/snapshot/2019/20K104/EMS,40.618251,-74.028219,"9115 5th Avenue, Brooklyn NY 11209"
22K109,P.S. 109,K-8,"PK,0K,01,02,03,04,05,06,07,08,SE","22",718-693-3426,https://www.schools.nyc.gov/Find-a-School,N/A,"B103, B46, B46-SBS, B6, B7, B8, BM2",https://tools.nycenet.edu/snapshot/2019/22K109/EMS,40.635815,-73.932986,"1001 East 45th Street, Brooklyn NY 11203"
22K109,P.S. 109,K-8,"PK,0K,01,02,03,04,05,06,07,08,SE","22",718-693-3426,https://www.schools.nyc.gov/Find-a-School,N/A,"B103, B46, B46-SBS, B6, B7, B8, BM2",https://tools.nycenet.edu/snapshot/2019/22K109/EMS,40.635912,-73.932855,"1001 East 45th Street, Brooklyn NY 11203"
13K113,M.S. 113 Ronald Edmonds Learning Center,Junior High-Intermediate-Middle,"06,07,08,SE","13",718-834-6734,https://www.relc113bk.com,"G to Clinton-Washington; C to Lafayette Ave; 2, 3, 4, 5, B, D, N, Q, R to Atlantic Ave - Barclays Center","B103, B25, B26, B38, B41, B45, B52, B54, B63, B67, B69",https://tools.nycenet.edu/snapshot/2019/13K113/EMS,40.689037,-73.97147,"300 Adelphi Street, Brooklyn NY 11205"
21K121,P.S. 121 Nelson A. Rockefeller,K-8,"0K,01,02,03,04,05,06,07,08,SE","21",718-377-8845,https://www.publicschool121.weebly.com,"N to 20th Ave; F to Ave I","B11, B6, B8, B9",https://tools.nycenet.edu/snapshot/2019/21K121/EMS,40.622846,-73.97866,"5301 20th Avenue, Brooklyn NY 11204"
14K126,John Ericsson Middle School 126,Junior High-Intermediate-Middle,"06,07,08,SE","14",718-782-2527,https://www.ms126magnet.org,"L to Metropolitan Ave-Lorimer St; G to Nassau Ave","B24, B43, B48, B62, Q59",https://tools.nycenet.edu/snapshot/2019/14K126/EMS,40.719809,-73.948059,"424 Leonard Street, Brooklyn NY 11222"
15K136,I.S. 136 Charles O. Dewey,Junior High-Intermediate-Middle,"06,07,08,SE","15",718-840-1950,https://www.ms136brooklyn.com,"R to 45th St; D, N, R to 36th St - 4 Ave","B11, B35, B37, B63, B70",https://tools.nycenet.edu/snapshot/2019/15K136/EMS,40.652274,-74.007747,"4004 4th Avenue, Brooklyn NY 11232"
17K138,P.S. 138 Brooklyn,K-8,"PK,0K,01,02,03,04,05,06,07,08,SE","17",718-467-0800,https://www.schools.nyc.gov/Find-a-School,"F, S to Park Place; 3, A, C to Nostrand Ave; 2, 5 to President St; 2, 4, 5 to Franklin Ave","B25, B43, B44, B44-SBS, B45, B48, B49, B65",https://tools.nycenet.edu/snapshot/2019/17K138/EMS,40.674132,-73.95181,"760 Prospect Place, Brooklyn NY 11216"
17K138,P.S. 138 Brooklyn,K-8,"PK,0K,01,02,03,04,05,06,07,08,SE","17",718-467-0800,https://www.schools.nyc.gov/Find-a-School,"F, S to Park Place; 3, A, C to Nostrand Ave; 2, 5 to President St; 2, 4, 5 to Franklin Ave","B25, B43, B44, B44-SBS, B45, B48, B49, B65",https://tools.nycenet.edu/snapshot/2019/17K138/EMS,40.673904,-73.951813,"760 Prospect Place, Brooklyn NY 11216"
23K155,P.S./ I.S. 155 Nicholas Herkimer,K-8,"PK,0K,01,02,03,04,05,06,07,08,SE","23",718-240-4340,https://www.schools.nyc.gov/Find-a-School,"C to Rockaway Ave; A, J, L, Z to Broadway Junction","B12, B20, B25, B60, B7, B83, Q24, Q56",https://tools.nycenet.edu/snapshot/2019/23K155/EMS,40.677479,-73.908756,"1355 Herkimer Street, Brooklyn NY 11233"
14K157,P.S./I.S. 157 The Benjamin Franklin Health & Scien,K-8,"PK,0K,01,02,03,04,05,06,07,08,SE","14",718-622-9285,https://www.schools.nyc.gov/Find-a-School,G to Classon Ave,"B38, B44, B44-SBS, B48, B54, B57, B62",https://tools.nycenet.edu/snapshot/2019/14K157/EMS,40.69519,-73.960049,"850 Kent Avenue, Brooklyn NY 11205"
32K162,J.H.S. 162 The Willoughby,Junior High-Intermediate-Middle,"06,07,08,SE","32",718-821-4860,https://www.IS162.com,L to Jefferson St,"B13, B38, B57, Q54",https://tools.nycenet.edu/snapshot/2019/32K162/EMS,40.706865,-73.919513,"1390 Willoughby Avenue, Brooklyn NY 11237"
20K163,P.S. 163 Bath Beach,K-8,"0K,01,02,03,04,05,06,07,08,SE","20",718-236-9003,https://www.schools.nyc.gov/Find-a-School,D to 18th Ave,"B1, B64, B8, X28, X38",https://tools.nycenet.edu/snapshot/2019/20K163/EMS,40.606658,-74.007232,"109 Bay 14th Street, Brooklyn NY 11214"
19K171,I.S. 171 Abraham Lincoln,Junior High-Intermediate-Middle,"06,07,08,SE","19",718-647-0111,https://www.schools.nyc.gov/Find-a-School,"J, Z to Crescent St","B13, Q24, Q56",https://tools.nycenet.edu/snapshot/2019/19K171/EMS,40.685851,-73.869284,"528 Ridgewood Avenue, Brooklyn NY 11208"
23K178,P.S. 178 Saint Clair Mckelway,K-8,"PK,0K,01,02,03,04,05,06,07,08,SE","23",718-495-7768,https://www.schools.nyc.gov/Find-a-School,C to Rockaway Ave,"B12, B14, B25, B45, B47, B60, B65, B7",https://tools.nycenet.edu/snapshot/2019/23K178/EMS,40.675603,-73.915566,"2163 Dean Street, Brooklyn NY 11233"
20K180,The SEEALL Academy,K-8,"PK,0K,01,02,03,04,05,06,07,08,SE","20",718-851-8070,https://www.seeallacademy.com,"D, N to 62nd St - New Utrecht Ave","B11, B16, B8, B9",https://tools.nycenet.edu/snapshot/2019/20K180/EMS,40.626531,-73.989473,"5601 16th Avenue, Brooklyn NY 11204"
17K181,P.S. 181 Brooklyn,K-8,"PK,0K,01,02,03,04,05,06,07,08,SE","17",718-462-5298,https://www.schools.nyc.gov/Find-a-School,"2, 5 to Church Ave","B35, B44, B44-SBS, B49, B8",https://tools.nycenet.edu/snapshot/2019/17K181/EMS,40.648475,-73.946105,"1023 New York Avenue, Brooklyn NY 11203"
23K184,P.S. 184 Newport,K-8,"PK,0K,01,02,03,04,05,06,07,08,SE","23",718-495-7775,https://www.schools.nyc.gov/Find-a-School,"L to New Lots Ave; 3 to Junius St","B14, B15, B35, B60, B8",https://tools.nycenet.edu/snapshot/2019/23K184/EMS,40.660145,-73.9049,"273 Newport Street, Brooklyn NY 11212"
20K187,The Christa McAuliffe School\I.S. 187,Junior High-Intermediate-Middle,"06,07,08,SE","20",718-236-3394,https://www.is187.com,"N to Fort Hamilton Parkway; D to 62nd St - New Utrecht Ave","B16, B64, B9",https://tools.nycenet.edu/snapshot/2019/20K187/EMS,40.628031,-74.003802,"1171 65th Street, Brooklyn NY 11219"
17K189,P.S. 189 The Bilingual Center,K-8,"0K,01,02,03,04,05,06,07,08,SE","17",718-756-0210,https://www.schools.nyc.gov/Find-a-School,"4 to Crown Hts-Utica Ave; 3 to Sutter Ave-Rutland Road","B12, B14, B15, B17, B45, B46, B46-SBS, B47, B65, B7",https://tools.nycenet.edu/snapshot/2019/17K189/EMS,40.665052,-73.925365,"1100 East New York Avenue, Brooklyn NY 11212"
20K192,P.S. 192 - The Magnet School for Math and Science,K-8,"PK,0K,01,02,03,04,05,06,07,08,SE","20",718-633-3061,https://www.ps-is192.org,F to 18th Ave,"B11, B8",https://tools.nycenet.edu/snapshot/2019/20K192/EMS,40.628617,-73.979489,"4715 18th Avenue, Brooklyn NY 11204"
20K201,J.H.S. 201 The Dyker Heights,Junior High-Intermediate-Middle,"06,07,08,SE","20",718-833-9363,https://www.is201k.org,N/A,"B1, B16, B4, B64, B70, X28, X38",https://tools.nycenet.edu/snapshot/2019/20K201/EMS,40.619081,-74.014027,"8010 12th Avenue, Brooklyn NY 11228"
22K206,P.S. 206 Joseph F Lamb,K-8,"0K,01,02,03,04,05,06,07,08,SE","22",718-743-5598,https://www.ps206brooklyn.org,Q to Neck Rd,"B3, B36, B44, B44-SBS, B49, BM3",https://tools.nycenet.edu/snapshot/2019/22K206/EMS,40.59693,-73.948416,"2200 Gravesend Neck Road, Brooklyn NY 11229"
22K207,P.S. 207 Elizabeth G. Leary,K-8,"PK,0K,01,02,03,04,05,06,07,08,SE","22",718-645-8667,https://www.schools.nyc.gov/Find-a-School,N/A,"B100, B2, B3, B41, B46, B46-SBS, B9, Q35",https://tools.nycenet.edu/snapshot/2019/22K207/EMS,40.613707,-73.930776,"4011 Fillmore Avenue, Brooklyn NY 11234"
21K209,P.S. 209 Margaret Mead,K-8,"PK,0K,01,02,03,04,05,06,07,08,SE","21",718-743-1954,https://www.schools.nyc.gov/Find-a-School,"B, Q to Sheepshead Bay","B1, B36, B4, B49, B68, BM3",https://tools.nycenet.edu/snapshot/2019/21K209/EMS,40.586816,-73.961462,"2609 East 7th Street, Brooklyn NY 11235"
18K211,I.S. 211 John Wilson,Junior High-Intermediate-Middle,"06,07,08,SE","18",718-251-4411,https://www.schools.nyc.gov/Find-a-School,L to Canarsie - Rockaway Parkway,"B103, B17, B42, B6, B60, B82, BM2",https://tools.nycenet.edu/snapshot/2019/18K211/EMS,40.643017,-73.89494,"1001 East 100th Street, Brooklyn NY 11236"
19K218,J.H.S. 218 James P. Sinnott,Junior High-Intermediate-Middle,"06,07,08,SE","19",718-647-9050,https://www.schools.nyc.gov/Find-a-School,"A, C to Euclid Ave","B13, B14, B15, B20, BM5, Q7, Q8",https://tools.nycenet.edu/snapshot/2019/19K218/EMS,40.669976,-73.87466,"370 Fountain Avenue, Brooklyn NY 11208"
20K220,J.H.S. 220 John J. Pershing,Junior High-Intermediate-Middle,"06,07,08,SE","20",718-633-8200,https://www.parent-portal.pershing220.org,D to Fort Hamilton Parkway,"B11, B16, B35, B70",https://tools.nycenet.edu/snapshot/2019/20K220/EMS,40.641136,-74.001197,"4812 9th Avenue, Brooklyn NY 11220"
20K223,J.H.S. 223 The Montauk,Junior High-Intermediate-Middle,"06,07,08,SE","20",718-438-0155,https://www.schools.nyc.gov/Find-a-School,F to Ditmas Ave,"B11, B16, B35, B67, B69, B8",https://tools.nycenet.edu/snapshot/2019/20K223/EMS,40.635253,-73.982267,"4200 16th Avenue, Brooklyn NY 11204"
21K225,P.S. K225 - The Eileen E. Zaglin,K-8,"PK,0K,01,02,03,04,05,06,07,08,SE","21",718-743-9793,https://www.schools.nyc.gov/Find-a-School,"B, Q to Brighton Beach","B1, B4, B49, B68, BM3",https://tools.nycenet.edu/snapshot/2019/21K225/EMS,40.580125,-73.955883,"1075 Ocean View Avenue, Brooklyn NY 11235"
21K226,P.S. 226 Alfred De B. Mason,K-8,"PK,0K,01,02,03,04,05,06,07,08,SE","21",718-234-4940,https://www.PSIS226.com,"N to Bay Parkway-22nd Ave; F to Ave N",B6,https://tools.nycenet.edu/snapshot/2019/21K226/EMS,40.615326,-73.976995,"6006 23rd Avenue, Brooklyn NY 11204"
20K227,J.H.S. 227 Edward B. Shallow,Junior High-Intermediate-Middle,"06,07,08,SE","20",718-256-8218,https://www.schools.nyc.gov/Find-a-School,"D, N to 62nd St - New Utrecht Ave","B4, B64, B8, B9",https://tools.nycenet.edu/snapshot/2019/20K227/EMS,40.622164,-73.995843,"6500 16th Avenue, Brooklyn NY 11204"
21K228,I.S. 228 David A. Boody,Junior High-Intermediate-Middle,"06,07,08,SE","21",718-375-7635,https://www.schools.nyc.gov/Find-a-School,"N to Ave U; F to Kings Highway","B3, B4, B82",https://tools.nycenet.edu/snapshot/2019/21K228/EMS,40.600425,-73.976607,"228 Avenue S, Brooklyn NY 11223"
20K229,P.S. 229 Dyker,K-8,"PK,0K,01,02,03,04,05,06,07,08,SE","20",718-236-5447,https://www.ps229.org,N/A,"B1, B64, B8, X28, X38",https://tools.nycenet.edu/snapshot/2019/20K229/EMS,40.610057,-74.013846,"1400 Benson Avenue, Brooklyn NY 11228"
22K234,J.H.S. 234 Arthur W. Cunningham,Junior High-Intermediate-Middle,"06,07,08,SE","22",718-645-1334,https://www.is234.com,"B, Q to Kings Highway","B100, B2, B3, B31, B49, B68, B7, B82, BM3",https://tools.nycenet.edu/snapshot/2019/22K234/EMS,40.604562,-73.955363,"1875 East 17th Street, Brooklyn NY 11229"
18K235,P.S. 235 Janice Marie Knight School,K-8,"PK,0K,01,02,03,04,05,06,07,08,SE","18",718-773-4869,https://www.schools.nyc.gov/Find-a-School,N/A,"B12, B35, B44, B44-SBS",https://tools.nycenet.edu/snapshot/2019/18K235/EMS,40.655162,-73.941096,"755 East 100th Street, Brooklyn NY 11236"
21K238,P.S. 238 Anne Sullivan,K-8,"PK,0K,01,02,03,04,05,06,07,08,SE","21",718-339-4355,https://www.schools.nyc.gov/Find-a-School,"F to Ave P; B, Q to Kings Highway","B100, B2, B31, B68, B7, B82, B9",https://tools.nycenet.edu/snapshot/2019/21K238/EMS,40.608795,-73.96451,"1633 East 8th Street, Brooklyn NY 11223"
21K239,Mark Twain I.S. 239 for the Gifted & Talented,Junior High-Intermediate-Middle,"06,07,08,SE","21",718-266-0814,https://www.is239.schoolwires.com,N/A,"B36, B74, B82, X28, X38",https://tools.nycenet.edu/snapshot/2019/21K239/EMS,40.578516,-73.992699,"2401 Neptune Avenue, Brooklyn NY 11224"
22K240,Andries Hudde,Junior High-Intermediate-Middle,"06,07,08,SE","22",718-253-3700,https://www.tinyurl.com/is240stemmagnet,N/A,"B11, B41, B44, B44-SBS, B49, B6, B7, B82, B9, BM1, BM3, BM4",https://tools.nycenet.edu/snapshot/2019/22K240/EMS,40.624017,-73.946714,"2500 Nostrand Avenue, Brooklyn NY 11210"
17K246,M.S. 246 Walt Whitman,Junior High-Intermediate-Middle,"06,07,08,SE","17",718-282-5230,https://www.schools.nyc.gov/Find-a-School,"2, 5 to Church Ave","B12, B35, B41, B44, B44-SBS, B49",https://tools.nycenet.edu/snapshot/2019/17K246/EMS,40.648644,-73.953585,"72 Veronica Place, Brooklyn NY 11226"
20K259,J.H.S. 259 William McKinley,Junior High-Intermediate-Middle,"06,07,08,SE","20",718-833-1000,https://www.mckinley259.org,N/A,"B16, B4, B63, B64, B70, X12, X14, X15, X17, X17A, X19, X3, X31, X4, X42, X5, X8, X9",https://tools.nycenet.edu/snapshot/2019/20K259/EMS,40.625895,-74.014655,"7305 Ft Hamilton Parkway, Brooklyn NY 11228"
13K265,Dr. Susan S. McKinney Secondary School of the Arts,Secondary School,"06,07,08,09,10,11,12,SE","13",718-834-6760,https://www.mckinneyssa.com,"B, Q, R to DeKalb Ave","B38, B54, B57, B62, B67, B69",https://tools.nycenet.edu/snapshot/2019/13K265/EMS,40.696954,-73.975927,"101 Park Avenue, Brooklyn NY 11205"
13K266,M.S. K266 - Park Place Community Middle School,Junior High-Intermediate-Middle,"06,07,08,SE","13",718-245-8766,https://www.parkplace266.org,"Q to 7th Ave; 4, 5, D, N, R to Atlantic Ave - Barclays Center; 2, 3 to Bergen St","B103, B37, B41, B45, B63, B65, B67, B69",https://tools.nycenet.edu/snapshot/2019/13K266/EMS,40.678904,-73.976505,"62 Park Place, Brooklyn NY 11217"
16K267,"M.S. 267 Math, Science & Technology",Junior High-Intermediate-Middle,"06,07,08,SE","16",718-574-2318,https://www.ms267.org,"Z to Gates Ave; J to Kosciusko St","B15, B26, B38, B43, B46, B46-SBS, B47, B52, Q24",https://tools.nycenet.edu/snapshot/2019/16K267/EMS,40.688072,-73.932268,"800 Gates Avenue, Brooklyn NY 11221"
22K278,J.H.S. 278 Marine Park,Junior High-Intermediate-Middle,"06,07,08,SE","22",718-375-3523,https://www.schools.nyc.gov/Find-a-School,N/A,"B100, B2, B3, B31, B36, B41, B44, B44-SBS, BM4",https://tools.nycenet.edu/snapshot/2019/22K278/EMS,40.606896,-73.938528,"1925 Stuart Street, Brooklyn NY 11229"
21K281,I.S. 281 Joseph B Cavallaro,Junior High-Intermediate-Middle,"06,07,08,SE","21",718-996-6706,https://www.is281.com,D to 25th Ave,"B1, B3, B4, B6, B64, B82, X28, X38",https://tools.nycenet.edu/snapshot/2019/21K281/EMS,40.594795,-73.993536,"8787 24th Avenue, Brooklyn NY 11214"
18K285,I.S. 285 Meyer Levin,Junior High-Intermediate-Middle,"06,07,08,SE","18",718-451-2200,https://www.meyerlevin18k285.com,N/A,"B17, B35, B46, B47, B7, B8",https://tools.nycenet.edu/snapshot/2019/18K285/EMS,40.647577,-73.920846,"5909 Beverly Road, Brooklyn NY 11203"
18K285,I.S. 285 Meyer Levin,Junior High-Intermediate-Middle,"06,07,08,SE","18",718-451-2200,https://www.meyerlevin18k285.com,N/A,"B17, B35, B46, B47, B7, B8",https://tools.nycenet.edu/snapshot/2019/18K285/EMS,40.648029,-73.920762,"5909 Beverly Road, Brooklyn NY 11203"
21K288,P.S. 288 The Shirley Tanyhill,K-8,"PK,0K,01,02,03,04,05,06,07,08,SE","21",718-382-2100,https://www.Facebook.com/288Eagles,N/A,"B36, B74, B82, X28, X38",https://tools.nycenet.edu/snapshot/2019/21K288/EMS,40.574272,-73.992274,"2950 West 25th Street, Brooklyn NY 11224"
32K291,J.H.S. 291 Roland Hayes,Junior High-Intermediate-Middle,"06,07,08,SE","32",718-574-0361,https://www.schools.nyc.gov/Find-a-School,"M to Knickerbocker Ave; L to Myrtle Ave-Wyckoff Ave","B13, B26, B52, B54, B60, Q55, Q58",https://tools.nycenet.edu/snapshot/2019/32K291/EMS,40.695937,-73.915515,"231 Palmetto Street, Brooklyn NY 11221"
19K292,J.H.S. 292 Margaret S. Douglas,Junior High-Intermediate-Middle,"06,07,08,SE","19",718-498-6562,https://www.schools.nyc.gov/Find-a-School,"L to Sutter Ave; C, J, Z to Van Siclen Ave; 3 to Pennsylvania Ave","B12, B14, B20, B25, B83, Q24, Q56",https://tools.nycenet.edu/snapshot/2019/19K292/EMS,40.671352,-73.893395,"301 Vermont Street, Brooklyn NY 11207"
19K292,J.H.S. 292 Margaret S. Douglas,Junior High-Intermediate-Middle,"06,07,08,SE","19",718-498-6562,https://www.schools.nyc.gov/Find-a-School,"L to Sutter Ave; C, J, Z to Van Siclen Ave; 3 to Pennsylvania Ave","B12, B14, B20, B25, B83, Q24, Q56",https://tools.nycenet.edu/snapshot/2019/19K292/EMS,40.67183,-73.893604,"301 Vermont Street, Brooklyn NY 11207"
13K301,Satellite East Middle School,Junior High-Intermediate-Middle,"06,07,08,SE","13",718-789-4251,https://www.schools.nyc.gov/Find-a-School,"G to Bedford-Nostrand; A, C to Nostrand Ave","B15, B25, B26, B38, B43, B44, B44-SBS, B52",https://tools.nycenet.edu/snapshot/2019/13K301/EMS,40.678787,-73.946233,"344 Monroe Street, Brooklyn NY 11216"
